feature_number,feature,feature_type,in_file
451, - 30-39 years,Percentage,888933043739.csv
452, - 40-49 years,Percentage,888933043739.csv
453, - 50-59 years,Percentage,888933043739.csv
454, - 60 years or more,Percentage,888933043739.csv
455,Highest level of formal education completed - Below ISCED level 5,Percentage,888933043815.csv
456, - ISCED level 5B2,Percentage,888933043815.csv
457, - ISCED level 5A,Percentage,888933043815.csv
458, - ISCED level 6,Percentage,888933043815.csv
459,School administration or principal training programme or course - Before taking up position as principal,Percentage,888933043891.csv
460, - After taking up position as principal,Percentage,888933043891.csv
461, - Before and after taking up position as principal,Percentage,888933043891.csv
462, - Never,Percentage,888933043891.csv
463,Teacher training/education programme or course - Before taking up position as principal,Percentage,888933043891.csv
464, - After taking up position as principal,Percentage,888933043891.csv
465, - Before and after taking up position as principal,Percentage,888933043891.csv
466, - Never,Percentage,888933043891.csv
467,Instructional leadership training or course - Before taking up position as principal,Percentage,888933043891.csv
468, - After taking up position as principal,Percentage,888933043891.csv
469, - Before and after taking up position as principal,Percentage,888933043891.csv
470, - Never,Percentage,888933043891.csv
471,Years working as a principal - Average years of experience,Average,888933043967.csv
472, - Less than 3 years experience,Percentage,888933043967.csv
473, - 3-10 years experience,Percentage,888933043967.csv
474, - 11-20 years experience,Percentage,888933043967.csv
475, - More than 20 years experience,Percentage,888933043967.csv
476,Years working in other school management roles - Average years of experience,Average,888933043967.csv
477, - Less than 3 years experience,Percentage,888933043967.csv
478, - 3-10 years experience,Percentage,888933043967.csv
479, - 11-20 years experience,Percentage,888933043967.csv
480, - More than 20 years experience,Percentage,888933043967.csv
481,Years working as a teacher - Average years of experience,Average,888933043967.csv
482, - Less than 3 years experience,Percentage,888933043967.csv
483, - 3-10 years experience,Percentage,888933043967.csv
484, - 11-20 years experience,Percentage,888933043967.csv
485, - More than 20 years experience,Percentage,888933043967.csv
486,Years working in other jobs - Average years of experience,Average,888933043967.csv
487, - Less than 3 years experience,Percentage,888933043967.csv
488, - 3-10 years experience,Percentage,888933043967.csv
489, - 11-20 years experience,Percentage,888933043967.csv
490, - More than 20 years experience,Percentage,888933043967.csv
491,Full time without teaching obligations1,Percentage,888933044024.csv
492,Full time with teaching obligations1,Percentage,888933044024.csv
493,Part time without teaching obligations2,Percentage,888933044024.csv
494,Part time with teaching obligations2,Percentage,888933044024.csv
495,Percentage of principals who did not participate in any professional development3,Percentage,888933044043.csv
496,Percentage of principals who participated in a professional network mentoring or research activity,Percentage,888933044043.csv
497,Average number of days among those who participated,Average,888933044043.csv
498,Percentage of principals who participated in courses conferences or observation visits,Percentage,888933044043.csv
499,Average number of days among those who participated,Average,888933044043.csv
500,Percentage of principals who participated in other types of professional development activities,Percentage,888933044043.csv
501,Average number of days among those who participated,Average,888933044043.csv
502,Missing prerequisites - Strongly disagree,Percentage,888933044081.csv
503, - Disagree,Percentage,888933044081.csv
504, - Agree,Percentage,888933044081.csv
505, - Strongly agree,Percentage,888933044081.csv
506,Too expensive - Strongly disagree,Percentage,888933044081.csv
507, - Disagree,Percentage,888933044081.csv
508, - Agree,Percentage,888933044081.csv
509, - Strongly agree,Percentage,888933044081.csv
510,Lack of employer support - Strongly disagree,Percentage,888933044081.csv
511, - Disagree,Percentage,888933044081.csv
512, - Agree,Percentage,888933044081.csv
513, - Strongly agree,Percentage,888933044081.csv
514,Conflicts with work schedule - Strongly disagree,Percentage,888933044081.csv
515, - Disagree,Percentage,888933044081.csv
516, - Agree,Percentage,888933044081.csv
517, - Strongly agree,Percentage,888933044081.csv
518,Conflicts with family responsibilities - Strongly disagree,Percentage,888933044081.csv
519, - Disagree,Percentage,888933044081.csv
520, - Agree,Percentage,888933044081.csv
521, - Strongly agree,Percentage,888933044081.csv
522,No relevant opportunities available - Strongly disagree,Percentage,888933044081.csv
523, - Disagree,Percentage,888933044081.csv
524, - Agree,Percentage,888933044081.csv
525, - Strongly agree,Percentage,888933044081.csv
526,No incentives - Strongly disagree,Percentage,888933044081.csv
527, - Disagree,Percentage,888933044081.csv
528, - Agree,Percentage,888933044081.csv
529, - Strongly agree,Percentage,888933044081.csv
530,Inadequate school budget and resources - Not at all,Percentage,888933044461.csv
531, - Very little,Percentage,888933044461.csv
532, - To some extent,Percentage,888933044461.csv
533, - A lot,Percentage,888933044461.csv
534,Government regulation and policy - Not at all,Percentage,888933044461.csv
535, - Very little,Percentage,888933044461.csv
536, - To some extent,Percentage,888933044461.csv
537, - A lot,Percentage,888933044461.csv
538,Teachers' absences - Not at all,Percentage,888933044461.csv
539, - Very little,Percentage,888933044461.csv
540, - To some extent,Percentage,888933044461.csv
541, - A lot,Percentage,888933044461.csv
542,Lack of parent or guardian involvement and support - Not at all,Percentage,888933044461.csv
543, - Very little,Percentage,888933044461.csv
544, - To some extent,Percentage,888933044461.csv
545, - A lot,Percentage,888933044461.csv
546,Teachers' career-based wage system1 - Not at all,Percentage,888933044461.csv
547, - Very little,Percentage,888933044461.csv
548, - To some extent,Percentage,888933044461.csv
549, - A lot,Percentage,888933044461.csv
550,Lack of opportunities and support for principal's professional development - Not at all,Percentage,888933044461.csv
551, - Very little,Percentage,888933044461.csv
552, - To some extent,Percentage,888933044461.csv
553, - A lot,Percentage,888933044461.csv
554,Lack of opportunities and support for teachers' professional development - Not at all,Percentage,888933044461.csv
555, - Very little,Percentage,888933044461.csv
556, - To some extent,Percentage,888933044461.csv
557, - A lot,Percentage,888933044461.csv
558,High workload and level of responsibilities in the principal's job - Not at all,Percentage,888933044461.csv
559, - Very little,Percentage,888933044461.csv
560, - To some extent,Percentage,888933044461.csv
561, - A lot,Percentage,888933044461.csv
562,Lack of shared leadership with other school staff members - Not at all,Percentage,888933044461.csv
563, - Very little,Percentage,888933044461.csv
564, - To some extent,Percentage,888933044461.csv
565, - A lot,Percentage,888933044461.csv
566,The advantages of the profession clearly outweigh the disadvantages - Strongly disagree,Percentage,888933044480.csv
567, - Disagree,Percentage,888933044480.csv
568, - Agree,Percentage,888933044480.csv
569, - Strongly agree,Percentage,888933044480.csv
570,If I could decide again I would still choose this job/position - Strongly disagree,Percentage,888933044480.csv
571, - Disagree,Percentage,888933044480.csv
572, - Agree,Percentage,888933044480.csv
573, - Strongly agree,Percentage,888933044480.csv
574,I would like to change to another school if that were possible - Strongly disagree,Percentage,888933044480.csv
575, - Disagree,Percentage,888933044480.csv
576, - Agree,Percentage,888933044480.csv
577, - Strongly agree,Percentage,888933044480.csv
578,I regret that I decided to become a principal - Strongly disagree,Percentage,888933044480.csv
579, - Disagree,Percentage,888933044480.csv
580, - Agree,Percentage,888933044480.csv
581, - Strongly agree,Percentage,888933044480.csv
582,I enjoy working at this school - Strongly disagree,Percentage,888933044480.csv
583, - Disagree,Percentage,888933044480.csv
584, - Agree,Percentage,888933044480.csv
585, - Strongly agree,Percentage,888933044480.csv
586,I would recommend my school as a good place to work - Strongly disagree,Percentage,888933044480.csv
587, - Disagree,Percentage,888933044480.csv
588, - Agree,Percentage,888933044480.csv
589, - Strongly agree,Percentage,888933044480.csv
590,I think that the teaching profession is valued in society - Strongly disagree,Percentage,888933044480.csv
591, - Disagree,Percentage,888933044480.csv
592, - Agree,Percentage,888933044480.csv
593, - Strongly agree,Percentage,888933044480.csv
594,I am satisfied with my performance in this school - Strongly disagree,Percentage,888933044480.csv
595, - Disagree,Percentage,888933044480.csv
596, - Agree,Percentage,888933044480.csv
597, - Strongly agree,Percentage,888933044480.csv
598,All in all I am satisfied with my job - Strongly disagree,Percentage,888933044480.csv
599, - Disagree,Percentage,888933044480.csv
600, - Agree,Percentage,888933044480.csv
601, - Strongly agree,Percentage,888933044480.csv
602,Principals working in schools located in areas with 15 000 people or less - ,Percentage,888933044556.csv
603,Within schools located in areas with 15 000 people or less - Principals with 5 years experience as a principal or less,Percentage,888933044556.csv
604, - Principals with more than 5 years experience as a principal,Percentage,888933044556.csv
605, - Principals with a highest level of education of ISCED 5b or below,Percentage,888933044556.csv
606, - Principals with a highest level of education of ISCED 5a or above,Percentage,888933044556.csv
607,Principals working in schools located in areas with 15 001 to 100 000 people - ,Percentage,888933044556.csv
608,Within schools located in areas with 15 001 to 100 000 people - Principals with 5 years experience as a principal or less,Percentage,888933044556.csv
609, - Principals with more than 5 years experience as a principal,Percentage,888933044556.csv
610, - Principals with a highest level of education of ISCED 5b or below,Percentage,888933044556.csv
611, - Principals with a highest level of education of ISCED 5a or above,Percentage,888933044556.csv
612,Principals working in schools located in areas with more than 100 000 people - ,Percentage,888933044556.csv
613,Within schools located in areas with more than 100 000 people - Principals with 5 years experience as a principal or less,Percentage,888933044556.csv
614, - Principals with more than 5 years experience as a principal,Percentage,888933044556.csv
615, - Principals with a highest level of education of ISCED 5b or below,Percentage,888933044556.csv
616, - Principals with a highest level of education of ISCED 5a or above,Percentage,888933044556.csv
617,Check for below 5% - Principals with 5 years experience as a principal or less,,888933044556.csv
618, - Principals with more than 5 years experience as a principal,,888933044556.csv
619, - Principals with a highest level of education of ISCED 5b or below,,888933044556.csv
620, - Principals with a highest level of education of ISCED 5a or above,,888933044556.csv
621,Hamlet or rural area (1 000 people or less),Percentage,888933044575.csv
622,Village (1 001 to 3 000 people),Percentage,888933044575.csv
623,Small town (3 001 to 15 000 people),Percentage,888933044575.csv
624,Town (15 001 to 100 000 people),Percentage,888933044575.csv
625,City (100 001 to 1 000 000 people,Percentage,888933044575.csv
626,Large city (more than 1 000 000 people),Percentage,888933044575.csv
627,Presence of school governing board - ,Percentage,888933044594.csv
628,Composition of school governing board - Representative of a local municipal/regional state or national/federal authority,Percentage,888933044594.csv
629, - Members of the school management team,Percentage,888933044594.csv
630, - School administrative personnel,Percentage,888933044594.csv
631, - Teachers,Percentage,888933044594.csv
632, - Parents or guardians,Percentage,888933044594.csv
633, - Students,Percentage,888933044594.csv
634, - Trade unions,Percentage,888933044594.csv
635, - Representatives of business labour market institutions a church or other private institutions,Percentage,888933044594.csv
636, - Other,Percentage,888933044594.csv
637,Workshops or courses for parents or guardians,Percentage,888933044613.csv
638,Services to support parents' or guardians' participation such as providing child care,Percentage,888933044613.csv
639,Support for parental association(s),Percentage,888933044613.csv
640,Parental meeting(s),Percentage,888933044613.csv
641,This school provides staff with opportunities to actively participate in school decisions - Strongly disagree,Percentage,888933044632.csv
642, - Disagree,Percentage,888933044632.csv
643, - Agree,Percentage,888933044632.csv
644, - Strongly agree,Percentage,888933044632.csv
645,This school provides parents or guardians with opportunities to actively participate in school decisions - Strongly disagree,Percentage,888933044632.csv
646, - Disagree,Percentage,888933044632.csv
647, - Agree,Percentage,888933044632.csv
648, - Strongly agree,Percentage,888933044632.csv
649,This school provides students with opportunities to actively participate in school decisions - Strongly disagree,Percentage,888933044632.csv
650, - Disagree,Percentage,888933044632.csv
651, - Agree,Percentage,888933044632.csv
652, - Strongly agree,Percentage,888933044632.csv
653,This school has a culture of shared responsibility for school issues - Strongly disagree,Percentage,888933044632.csv
654, - Disagree,Percentage,888933044632.csv
655, - Agree,Percentage,888933044632.csv
656, - Strongly agree,Percentage,888933044632.csv
657,There is a collaborative school culture that which is characterised by mutual support - Strongly disagree,Percentage,888933044632.csv
658, - Disagree,Percentage,888933044632.csv
659, - Agree,Percentage,888933044632.csv
660, - Strongly agree,Percentage,888933044632.csv
661,This school provides staff with opportunities to actively participate in school decisions - Strongly disagree,Percentage,888933044651.csv
662, - Disagree,Percentage,888933044651.csv
663, - Agree,Percentage,888933044651.csv
664, - Strongly agree,Percentage,888933044651.csv
665,This school provides parents or guardians with opportunities to actively participate in school decisions - Strongly disagree,Percentage,888933044651.csv
666, - Disagree,Percentage,888933044651.csv
667, - Agree,Percentage,888933044651.csv
668, - Strongly agree,Percentage,888933044651.csv
669,This school provides students with opportunities to actively participate in school decisions - Strongly disagree,Percentage,888933044651.csv
670, - Disagree,Percentage,888933044651.csv
671, - Agree,Percentage,888933044651.csv
672, - Strongly agree,Percentage,888933044651.csv
673,I make important decisions on my own - Strongly disagree,Percentage,888933044651.csv
674, - Disagree,Percentage,888933044651.csv
675, - Agree,Percentage,888933044651.csv
676, - Strongly agree,Percentage,888933044651.csv
677,There is a collaborative school culture that which is characterised by mutual support - Strongly disagree,Percentage,888933044651.csv
678, - Disagree,Percentage,888933044651.csv
679, - Agree,Percentage,888933044651.csv
680, - Strongly agree,Percentage,888933044651.csv
681,Access to induction programmes or activities (reported by principals) - Formal induction - For all new teachers to the school,Percentage,888933044727.csv
682, -  - Only for teachers new to teaching,Percentage,888933044727.csv
683, -  - No induction programme for new teachers,Percentage,888933044727.csv
684, - Informal induction activities (not part of an induction programme) for new teachers - ,Percentage,888933044727.csv
685, - General and/or administrative introduction to the school for new teachers - ,Percentage,888933044727.csv
686,Participation in induction programmes or activities (reported by teachers) - Took part in a formal induction programme - ,Percentage,888933044727.csv
687, - Took part in informal induction activities not part of an induction programme - ,Percentage,888933044727.csv
688, - Took part in a general and/or administrative introduction to the school - ,Percentage,888933044727.csv
689,Gender - Male teachers,Percentage,888933044784.csv
690, - Female teachers,Percentage,888933044784.csv
691,Experience - Teachers with 5 years teaching experience or less,Percentage,888933044784.csv
692, - Teachers with more than 5 years teaching experience,Percentage,888933044784.csv
693,Work status - Permanent teachers ,Percentage,888933044784.csv
694, - Fixed-term teachers,Percentage,888933044784.csv
695,Hours of work per week4 - Teachers working less than 30 hours per week,Percentage,888933044784.csv
696, - Teachers working 30 hours per week or more,Percentage,888933044784.csv
697,Access to mentoring programmes (reported by principals) - Target group of mentoring system - Only for teachers who are new to teaching,Percentage,888933044803.csv
698, -  - For all teachers who are new to the school,Percentage,888933044803.csv
699, -  - For all teachers in the school,Percentage,888933044803.csv
700, -  - There is no access to a mentoring system for teachers in the school,Percentage,888933044803.csv
701, - The subject field(s) of the mentor is the same as that of the teacher being mentored - Most of the time,Percentage,888933044803.csv
702, -  - Sometimes,Percentage,888933044803.csv
703, -  - Rarely or never,Percentage,888933044803.csv
704,Participation in mentoring programmes (reported by teachers) - Teachers who presently have an assigned mentor to support them - ,Percentage,888933044803.csv
705, - Teachers who serve as an assigned mentor for one or more teachers - ,Percentage,888933044803.csv
706,Gender - Male teachers,Percentage,888933044860.csv
707, - Female teachers,Percentage,888933044860.csv
708,Experience - Teachers with 5 years teaching experience or less,Percentage,888933044860.csv
709, - Teachers with more than 5 years teaching experience,Percentage,888933044860.csv
710,Work status - Permanent teachers ,Percentage,888933044860.csv
711, - Fixed-term teachers3,Percentage,888933044860.csv
712,Hours of work per week4 - Teachers working less than 30 hours per week,Percentage,888933044860.csv
713, - Teachers working 30 hours per week or more,Percentage,888933044860.csv
714,Gender - Male teachers,Percentage,888933044879.csv
715, - Female teachers,Percentage,888933044879.csv
716,Experience - Teachers with 5 years teaching experience or less,Percentage,888933044879.csv
717, - Teachers with more than f5 years teaching experience,Percentage,888933044879.csv
718,Work status - Permanent teachers ,Percentage,888933044879.csv
719, - Fixed-term teachers,Percentage,888933044879.csv
720,Hours of work per week4 - Teachers working less than 30 hours per week,Percentage,888933044879.csv
721, - Teachers working 30 hours per week or more,Percentage,888933044879.csv
722,Percentage of teachers who undertook some professional development activities in the previous 12 months1 - ,Percentage,888933044898.csv
723,Percentage of teachers who undertook some professional development activities in the previous 12 months without any type of support2 - ,Percentage,888933044898.csv
724,Percentage of teachers who had to pay for none some or all of the professional development activities undertaken - None,Percentage,888933044898.csv
725, - Some,Percentage,888933044898.csv
726, - All,Percentage,888933044898.csv
727,Gender - Male teachers,Percentage,888933044974.csv
728, - Female teachers,Percentage,888933044974.csv
729,Experience - Teachers with 5 years teaching experience or less,Percentage,888933044974.csv
730, - Teachers with more than 5 years teaching experience,Percentage,888933044974.csv
731,Work status - Permanent teachers ,Percentage,888933044974.csv
732, - Fixed-term teachers,Percentage,888933044974.csv
733,Hours of work per week - Teachers working less than 30 hours per week,Percentage,888933044974.csv
734, - Teachers working 30 hours per week or more,Percentage,888933044974.csv
735,School type - Teachers working in public schools,Percentage,888933044993.csv
736, - Teachers working in private schools,Percentage,888933044993.csv
737,School location - Teachers working in schools located in areas with 15 000 people or less,Percentage,888933044993.csv
738, - Teachers working in schools located in areas with 15 001 to 100 000 people,Percentage,888933044993.csv
739, - Teachers working in schools located in areas with more than 100 000 people,Percentage,888933044993.csv
740,Courses/workshops - Percentage of teachers,Percentage,888933045031.csv
741, - Average days,Average,888933045031.csv
742,Education conferences or seminars where teachers and/or researchers present their research results and discuss educational issues - Percentage of teachers,Percentage,888933045031.csv
743, - Average days,Average,888933045031.csv
744,Observation visits to other schools - Percentage of teachers,Percentage,888933045031.csv
745, - Average days,Average,888933045031.csv
746,Observation visits to business premises public organisations non-governmental organisations - Percentage of teachers,Percentage,888933045031.csv
747, - Average days,Average,888933045031.csv
748,In-service training courses in business premises public organisations non-governmental organisations - Percentage of teachers,Percentage,888933045031.csv
749, - Average days,Average,888933045031.csv
750,Qualification programme (e.g. a degree programme) - Percentage of teachers,Percentage,888933045031.csv
751,Participation in a network of teachers formed specifically for the professional development of teachers - Percentage of teachers,Percentage,888933045031.csv
752,Individual or collaborative research on a topic of interest to the teacher - Percentage of teachers,Percentage,888933045031.csv
753,Mentoring and/or peer observation and coaching as part of a formal school arrangement - Percentage of teachers,Percentage,888933045031.csv
754,Knowledge and understanding of subject field(s) - Percentage of teachers - ,Percentage,888933045069.csv
755, - Positive impact - No,Percentage,888933045069.csv
756, -  - Small,Percentage,888933045069.csv
757, -  - Moderate,Percentage,888933045069.csv
758, -  - Large,Percentage,888933045069.csv
759,Pedagogical competencies in teaching subject field(s) - Percentage of teachers - ,Percentage,888933045069.csv
760, - Positive impact - No,Percentage,888933045069.csv
761, -  - Small,Percentage,888933045069.csv
762, -  - Moderate,Percentage,888933045069.csv
763, -  - Large,Percentage,888933045069.csv
764,Knowledge of the curriculum - Percentage of teachers - ,Percentage,888933045069.csv
765, - Positive impact - No,Percentage,888933045069.csv
766, -  - Small,Percentage,888933045069.csv
767, -  - Moderate,Percentage,888933045069.csv
768, -  - Large,Percentage,888933045069.csv
769,Student evaluation and assessment practices - Percentage of teachers - ,Percentage,888933045069.csv
770, - Positive impact - No,Percentage,888933045069.csv
771, -  - Small,Percentage,888933045069.csv
772, -  - Moderate,Percentage,888933045069.csv
773, -  - Large,Percentage,888933045069.csv
774,ICT skills for teaching - Percentage of teachers - ,Percentage,888933045069.csv
775, - Positive impact - No,Percentage,888933045069.csv
776, -  - Small,Percentage,888933045069.csv
777, -  - Moderate,Percentage,888933045069.csv
778, -  - Large,Percentage,888933045069.csv
779,Student behaviour and classroom management - Percentage of teachers - ,Percentage,888933045069.csv
780, - Positive impact - No,Percentage,888933045069.csv
781, -  - Small,Percentage,888933045069.csv
782, -  - Moderate,Percentage,888933045069.csv
783, -  - Large,Percentage,888933045069.csv
784,School management and administration - Percentage of teachers - ,Percentage,888933045069.csv
785, - Positive impact - No,Percentage,888933045069.csv
786, -  - Small,Percentage,888933045069.csv
787, -  - Moderate,Percentage,888933045069.csv
788, -  - Large,Percentage,888933045069.csv
789,Approaches to individual learning - Percentage of teachers - ,Percentage,888933045069.csv
790, - Positive impact - No,Percentage,888933045069.csv
791, -  - Small,Percentage,888933045069.csv
792, -  - Moderate,Percentage,888933045069.csv
793, -  - Large,Percentage,888933045069.csv
794,Teaching students with special needs2 - Percentage of teachers - ,Percentage,888933045069.csv
795, - Positive impact - No,Percentage,888933045069.csv
796, -  - Small,Percentage,888933045069.csv
797, -  - Moderate,Percentage,888933045069.csv
798, -  - Large,Percentage,888933045069.csv
799,Teaching in a multicultural or multilingual setting - Percentage of teachers - ,Percentage,888933045069.csv
800, - Positive impact - No,Percentage,888933045069.csv
801, -  - Small,Percentage,888933045069.csv
802, -  - Moderate,Percentage,888933045069.csv
803, -  - Large,Percentage,888933045069.csv
804,Teaching cross-curricular skills (e.g. problem solving learning-to-learn) - Percentage of teachers - ,Percentage,888933045069.csv
805, - Positive impact - No,Percentage,888933045069.csv
806, -  - Small,Percentage,888933045069.csv
807, -  - Moderate,Percentage,888933045069.csv
808, -  - Large,Percentage,888933045069.csv
809,Approaches to developing cross-occupational competencies for future work or future studies - Percentage of teachers - ,Percentage,888933045069.csv
810, - Positive impact - No,Percentage,888933045069.csv
811, -  - Small,Percentage,888933045069.csv
812, -  - Moderate,Percentage,888933045069.csv
813, -  - Large,Percentage,888933045069.csv
814,New technologies in the workplace - Percentage of teachers - ,Percentage,888933045069.csv
815, - Positive impact - No,Percentage,888933045069.csv
816, -  - Small,Percentage,888933045069.csv
817, -  - Moderate,Percentage,888933045069.csv
818, -  - Large,Percentage,888933045069.csv
819,Student career guidance and counselling - Percentage of teachers - ,Percentage,888933045069.csv
820, - Positive impact - No,Percentage,888933045069.csv
821, - Small,Percentage,888933045069.csv
822, - Moderate,Percentage,888933045069.csv
823, - Large,Percentage,888933045069.csv
824,Scheduled time for activities that took place during regular working hours at this school,Percentage,888933045088.csv
825,Salary supplement for activities outside working hours,Percentage,888933045088.csv
826,Non-monetary support for activities outside working hours (reduced teaching days off study leave etc.),Percentage,888933045088.csv
827,Knowledge and understanding of the subject field(s) - No need at present,Percentage,888933045183.csv
828, - Low level of need,Percentage,888933045183.csv
829, - Moderate level of need,Percentage,888933045183.csv
830, - High level of need,Percentage,888933045183.csv
831,Pedagogical competencies in teaching subject field(s) - No need at present,Percentage,888933045183.csv
832, - Low level of need,Percentage,888933045183.csv
833, - Moderate level of need,Percentage,888933045183.csv
834, - High level of need,Percentage,888933045183.csv
835,Knowledge of the curriculum - No need at present,Percentage,888933045183.csv
836, - Low level of need,Percentage,888933045183.csv
837, - Moderate level of need,Percentage,888933045183.csv
838, - High level of need,Percentage,888933045183.csv
839,Student evaluation and assessment practice - No need at present,Percentage,888933045183.csv
840, - Low level of need,Percentage,888933045183.csv
841, - Moderate level of need,Percentage,888933045183.csv
842, - High level of need,Percentage,888933045183.csv
843,ICT skills for teaching - No need at present,Percentage,888933045183.csv
844, - Low level of need,Percentage,888933045183.csv
845, - Moderate level of need,Percentage,888933045183.csv
846, - High level of need,Percentage,888933045183.csv
847,Student behaviour and classroom management - No need at present,Percentage,888933045183.csv
848, - Low level of need,Percentage,888933045183.csv
849, - Moderate level of need,Percentage,888933045183.csv
850, - High level of need,Percentage,888933045183.csv
851,School management and administration - No need at present,Percentage,888933045183.csv
852, - Low level of need,Percentage,888933045183.csv
853, - Moderate level of need,Percentage,888933045183.csv
854, - High level of need,Percentage,888933045183.csv
855,Approaches to individualised learning - No need at present,Percentage,888933045183.csv
856, - Low level of need,Percentage,888933045183.csv
857, - Moderate level of need,Percentage,888933045183.csv
858, - High level of need,Percentage,888933045183.csv
859,Teaching students with special needs - No need at present,Percentage,888933045183.csv
860, - Low level of need,Percentage,888933045183.csv
861, - Moderate level of need,Percentage,888933045183.csv
862, - High level of need,Percentage,888933045183.csv
863,Teaching in a multicultural or multilingual setting - No need at present,Percentage,888933045183.csv
864, - Low level of need,Percentage,888933045183.csv
865, - Moderate level of need,Percentage,888933045183.csv
866, - High level of need,Percentage,888933045183.csv
867,Teaching cross-curricular skills (e.g. problem solving learning-to-learn) - No need at present,Percentage,888933045183.csv
868, - Low level of need,Percentage,888933045183.csv
869, - Moderate level of need,Percentage,888933045183.csv
870, - High level of need,Percentage,888933045183.csv
871,Approaches to developing cross-occupational competencies for future work or future studies - No need at present,Percentage,888933045183.csv
872, - Low level of need,Percentage,888933045183.csv
873, - Moderate level of need,Percentage,888933045183.csv
874, - High level of need,Percentage,888933045183.csv
875,New technologies in the workplace - No need at present,Percentage,888933045183.csv
876, - Low level of need,Percentage,888933045183.csv
877, - Moderate level of need,Percentage,888933045183.csv
878, - High level of need,Percentage,888933045183.csv
879,Student career guidance and counselling - No need at present,Percentage,888933045183.csv
880, - Low level of need,Percentage,888933045183.csv
881, - Moderate level of need,Percentage,888933045183.csv
882, - High level of need,Percentage,888933045183.csv
883,Do not have the pre-requisites (e.g. qualifications experience seniority) - Strongly disagree,Percentage,888933045259.csv
884, - Disagree,Percentage,888933045259.csv
885, - Agree,Percentage,888933045259.csv
886, - Strongly agree,Percentage,888933045259.csv
887,Professional development is too expensive/unaffordable - Strongly disagree,Percentage,888933045259.csv
888, - Disagree,Percentage,888933045259.csv
889, - Agree,Percentage,888933045259.csv
890, - Strongly agree,Percentage,888933045259.csv
891,There is a lack of employer support - Strongly disagree,Percentage,888933045259.csv
892, - Disagree,Percentage,888933045259.csv
893, - Agree,Percentage,888933045259.csv
894, - Strongly agree,Percentage,888933045259.csv
895,Professional development conflicts with my work schedule - Strongly disagree,Percentage,888933045259.csv
896, - Disagree,Percentage,888933045259.csv
897, - Agree,Percentage,888933045259.csv
898, - Strongly agree,Percentage,888933045259.csv
899,Lack of time due to family responsibilities - Strongly disagree,Percentage,888933045259.csv
900, - Disagree,Percentage,888933045259.csv
901, - Agree,Percentage,888933045259.csv
902, - Strongly agree,Percentage,888933045259.csv
903,There is no relevant professional development offered - Strongly disagree,Percentage,888933045259.csv
904, - Disagree,Percentage,888933045259.csv
905, - Agree,Percentage,888933045259.csv
906, - Strongly agree,Percentage,888933045259.csv
907,There are no incentives for participating in such activities - Strongly disagree,Percentage,888933045259.csv
908, - Disagree,Percentage,888933045259.csv
909, - Agree,Percentage,888933045259.csv
910, - Strongly agree,Percentage,888933045259.csv
911,Mentoring by experienced teachers,Percentage,888933045278.csv
912,Courses/seminars,Percentage,888933045278.csv
913,Scheduled meetings with principal and/or colleague teachers,Percentage,888933045278.csv
914,A system of peer review,Percentage,888933045278.csv
915,Networking/virtual communities,Percentage,888933045278.csv
916,Collaboration with other schools,Percentage,888933045278.csv
917,Team teaching (with more experienced teachers),Percentage,888933045278.csv
918,A system of diary/journals portfolios etc. to facilitate learning and reflection,Percentage,888933045278.csv
919,To improve teachers' pedagogical competence - Not important at all,Percentage,888933045316.csv
920, - Of low importance,Percentage,888933045316.csv
921, - Of moderate importance,Percentage,888933045316.csv
922, - Of high importance,Percentage,888933045316.csv
923,To strengthen teachers' professional identity - Not important at all,Percentage,888933045316.csv
924, - Of low importance,Percentage,888933045316.csv
925, - Of moderate importance,Percentage,888933045316.csv
926, - Of high importance,Percentage,888933045316.csv
927,To improve teachers' collaboration with colleagues - Not important at all,Percentage,888933045316.csv
928, - Of low importance,Percentage,888933045316.csv
929, - Of moderate importance,Percentage,888933045316.csv
930, - Of high importance,Percentage,888933045316.csv
931,To support less experienced teachers in their teaching - Not important at all,Percentage,888933045316.csv
932, - Of low importance,Percentage,888933045316.csv
933, - Of moderate importance,Percentage,888933045316.csv
934, - Of high importance,Percentage,888933045316.csv
935,To expand teachers' main subject(s) knowledge - Not important at all,Percentage,888933045316.csv
936, - Of low importance,Percentage,888933045316.csv
937, - Of moderate importance,Percentage,888933045316.csv
938, - Of high importance,Percentage,888933045316.csv
939,To improve students' general performance - Not important at all,Percentage,888933045316.csv
940, - Of low importance,Percentage,888933045316.csv
941, - Of moderate importance,Percentage,888933045316.csv
942, - Of high importance,Percentage,888933045316.csv
943,A group of colleagues from the school or subject group - Not in any activity,Percentage,888933045354.csv
944, - Yes in some activities,Percentage,888933045354.csv
945, - Yes in most activities,Percentage,888933045354.csv
946, - Yes in all activities,Percentage,888933045354.csv
947,Opportunities for active learning methods (not only listening to a lecturer) - Not in any activity,Percentage,888933045354.csv
948, - Yes in some activities,Percentage,888933045354.csv
949, - Yes in most activities,Percentage,888933045354.csv
950, - Yes in all activities,Percentage,888933045354.csv
951,Collaborative learning activities or research with other teachers - Not in any activity,Percentage,888933045354.csv
952, - Yes in some activities,Percentage,888933045354.csv
953, - Yes in most activities,Percentage,888933045354.csv
954, - Yes in all activities,Percentage,888933045354.csv
955,An extended time period time period (several occasions spread out over several weeks or months) - Not in any activity,Percentage,888933045354.csv
956, - Yes in some activities,Percentage,888933045354.csv
